Disease,Description
Common Cold,"The common cold is a viral infection of the upper respiratory tract. Symptoms include a runny nose, sore throat, cough, and mild fever."
Flu,"Influenza (flu) is a contagious respiratory illness with symptoms including fever, cough, sore throat, body aches, headache, and fatigue."
Diabetes,"Diabetes is a chronic condition that affects how your body turns food into energy, characterized by high blood sugar levels."
Hypertension,"High blood pressure (hypertension) is a common condition where the force of blood against artery walls is too high, potentially leading to health problems."
Asthma,"Asthma is a condition in which airways narrow and swell, producing extra mucus and making breathing difficult."
Migraine,"A migraine is a headache disorder characterized by recurrent headaches that are moderate to severe, typically affecting one side of the head."
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness that can worsen with age."
Allergies,"Allergies occur when your immune system reacts to a foreign substance that doesn't cause a reaction in most people."
Bronchitis,"Bronchitis is inflammation of the lining of the bronchial tubes, which carry air to and from the lungs."
Pneumonia,"Pneumonia is an infection that inflames air sacs in one or both lungs, which may fill with fluid."
